building_id,raw_noise_day_dba,raw_noise_night_dba,raw_daylight_klx,raw_view_sky_sr,raw_view_greenery_sr,raw_poi_count,noise_lden,noise_lnight,daylight,view_sky,view_greenery,location_poi,dwelling_id,fli_score,linguistic_label,num_activated_rules
1,53.3394420609052,40.8122490806662,0.994024513981996,0.0198516114494338,0.0028998349261245,1380.0,53.3394420609052,40.8122490806662,0.994024513981996,0.0198516114494338,0.0028998349261245,3.140193678578631,0,28.823551607576636,fair,5
2,54.58104285102576,43.167299529359944,2.4203571318869033,0.0290517998234997,0.0029009442368552,1138.0,54.58104285102576,43.167299529359944,2.4203571318869033,0.0290517998234997,0.0029009442368552,3.056523724079101,1,43.33344873910063,fair,3
3,63.154033097522635,55.952146267660005,1.768809485715215,0.0455624684397876,0.0108596310778774,299.0,63.154033097522635,55.952146267660005,1.768809485715215,0.0455624684397876,0.0108596310778774,2.4771212547196626,2,15.87544572337731,poor,2
4,50.25226932536338,36.96448634906063,1.365917816907111,0.0234485962747572,0.0298545298496145,802.0,50.25226932536338,36.96448634906063,1.365917816907111,0.0234485962747572,0.0298545298496145,2.904715545278681,3,73.66663548123604,excellent,3
8,50.8553424231348,35.4993147038345,0.762306544239232,0.0128374416738539,0.0126002369029493,815.0,50.8553424231348,35.4993147038345,0.762306544239232,0.0128374416738539,0.0126002369029493,2.9116901587538613,4,34.524616893662774,fair,5
9,71.2435655290185,64.3108865369272,1.3486211764906106,0.032408164832354,0.0136381827798366,140.0,71.2435655290185,64.3108865369272,1.3486211764906106,0.032408164832354,0.0136381827798366,2.1492191126553797,5,13.166666666666671,poor,1
11,40.784230406050824,29.88831487773091,2.1620980071187197,0.0384865818312244,0.0061114291195565,334.0,40.784230406050824,29.88831487773091,2.1620980071187197,0.0384865818312244,0.0061114291195565,2.525044807036845,6,60.00000000000001,good,2
12,43.724552741020005,34.0794695987308,2.4914395458310787,0.0393865752521449,0.0043462518438179,336.0,43.724552741020005,34.0794695987308,2.4914395458310787,0.0393865752521449,0.0043462518438179,2.5276299008713385,7,58.274007450853546,good,3
15,64.7959856365648,52.2242864003788,1.6873651190406642,0.0348679087331374,0.0103029746678038,534.0,64.7959856365648,52.2242864003788,1.6873651190406642,0.0348679087331374,0.0103029746678038,2.7283537820212285,8,30.830689598355814,fair,5
16,50.5801396724806,38.6772100837976,1.7858497946602268,0.0350385387849584,0.0088794288568928,303.0,50.5801396724806,38.6772100837976,1.7858497946602268,0.0350385387849584,0.0088794288568928,2.482873583608754,9,59.99999999999999,good,0
17,45.5195080803185,34.388117927163,1.258564698336084,0.028829186809541,0.0077089197957321,306.0,45.5195080803185,34.388117927163,1.258564698336084,0.028829186809541,0.0077089197957321,2.4871383754771865,10,50.0,good,0
18,43.1983624524472,22.7070119213694,1.7776973184135525,0.0337390604696885,0.0145825123169612,126.0,43.1983624524472,22.7070119213694,1.7776973184135525,0.0337390604696885,0.0145825123169612,2.103803720955957,11,60.00000000000002,good,2
19,40.8397186228758,23.5756549946592,1.6730056298179663,0.0318702464937642,0.0134310542556637,118.0,40.8397186228758,23.5756549946592,1.6730056298179663,0.0318702464937642,0.0134310542556637,2.0755469613925306,12,60.00000000000001,good,2
20,42.6459029410626,23.270111568848,1.6919506853862032,0.0305621579685964,0.0160345228571836,146.0,42.6459029410626,23.270111568848,1.6919506853862032,0.0305621579685964,0.0160345228571836,2.167317334748176,13,60.000000000000014,good,2
21,48.7000787022852,33.2072795561645,1.737494924991973,0.0335834763422215,0.0162848426633124,129.0,48.7000787022852,33.2072795561645,1.737494924991973,0.0335834763422215,0.0162848426633124,2.113943352306837,14,59.999999999999986,good,2
22,62.62436491094271,53.749865345770694,2.775007235470386,0.0455793996408483,0.0089635444433465,162.0,62.62436491094271,53.749865345770694,2.775007235470386,0.0455793996408483,0.0089635444433465,2.2121876044039577,15,27.465374408544367,fair,3
27,66.2979986718802,53.3669276872177,1.4074871687192585,0.0246927919837332,0.0024910819368509,348.0,66.2979986718802,53.3669276872177,1.4074871687192585,0.0246927919837332,0.0024910819368509,2.5428254269591797,16,32.976609863328285,fair,4
28,59.8211098008483,47.017308339543,1.9492798727887235,0.0304947231395723,0.0078279677395548,332.0,59.8211098008483,47.017308339543,1.9492798727887235,0.0304947231395723,0.0078279677395548,2.5224442335063197,17,40.00000000000001,fair,1
29,49.0351046059581,36.7994846007562,1.446460796938234,0.0272271602393297,0.0182769003500149,112.0,49.0351046059581,36.7994846007562,1.446460796938234,0.0272271602393297,0.0182769003500149,2.0530784434834195,18,60.000000000000014,good,2
30,45.3190502700633,33.6649935786475,1.5809597466345204,0.0294429053868587,0.0099449723059976,108.0,45.3190502700633,33.6649935786475,1.5809597466345204,0.0294429053868587,0.0099449723059976,2.037426497940624,19,50.0,good,0
