building_id,raw_noise_day_dba,raw_noise_night_dba,raw_daylight_klx,raw_view_sky_sr,raw_view_greenery_sr,raw_poi_count,noise_lden,noise_lnight,daylight,view_sky,view_greenery,location_poi
1,53.3394420609052,40.8122490806662,0.9940245139819959,0.01985161144943389,0.00289983492612459,1380.0,53.3394420609052,40.8122490806662,994.0245139819958,1.5660291995723705,0.2248504620635351,97.18462376708473
2,54.58104285102576,43.167299529359944,2.4203571318869033,0.029051799823499754,0.002900944236855269,1138.0,54.58104285102576,43.167299529359944,1000.0,2.291802201530066,0.22493647697014857,94.59515512885518
3,63.154033097522635,55.952146267660005,1.768809485715215,0.045562468439787646,0.01085963107787744,299.0,63.154033097522635,55.952146267660005,1000.0,3.5942752639024067,0.842045539800274,76.66345512622848
4,50.25226932536338,36.96448634906063,1.3659178169071107,0.0234485962747572,0.029854529849614578,802.0,50.25226932536338,36.96448634906063,1000.0,1.849783658560417,2.0,89.8969032846686
8,50.8553424231348,35.4993147038345,0.762306544239232,0.012837441673853948,0.012600236902949301,815.0,50.8553424231348,35.4993147038345,762.306544239232,1.012704110206418,0.9770104719458885,90.11275786431766
9,71.2435655290185,64.3108865369272,1.3486211764906106,0.03240816483235405,0.013638182779836696,140.0,71.2435655290185,64.3108865369272,1000.0,2.55657494411962,1.0574918151811636,66.5153402101566
11,40.784230406050824,29.88831487773091,2.1620980071187197,0.03848658183122447,0.006111429119556519,334.0,40.784230406050824,29.88831487773091,1000.0,3.0360815338821148,0.47387444334194717,78.14662236947817
12,43.724552741020005,34.0794695987308,2.4914395458310787,0.03938657525214495,0.004346251843817912,336.0,43.724552741020005,34.0794695987308,1000.0,3.1070790939630464,0.33700426411270884,78.22662742566999
15,64.7959856365648,52.2242864003788,1.6873651190406642,0.034867908733137415,0.010302974667803834,534.0,64.7959856365648,52.2242864003788,1000.0,2.750616157444226,0.7988829273742791,84.43875217571113
16,50.5801396724806,38.6772100837976,1.7858497946602268,0.03503853878495846,0.008879428856892876,303.0,50.5801396724806,38.6772100837976,1000.0,2.7640766084588426,0.6885025293494481,76.84148169913844
17,45.5195080803185,34.388117927163,1.258564698336084,0.028829186809541076,0.0077089197957321744,306.0,45.5195080803185,34.388117927163,1000.0,2.2742409833412,0.5977423619756207,76.97347107164305
18,43.1983624524472,22.7070119213694,1.7776973184135525,0.033739060469688574,0.014582512316961203,126.0,43.1983624524472,22.7070119213694,1000.0,2.6615649815761904,1.1307142358264852,65.109797047118
19,40.8397186228758,23.5756549946592,1.6730056298179663,0.031870246493764263,0.013431054255663741,118.0,40.8397186228758,23.5756549946592,1000.0,2.5141403121824184,1.0414312649935473,64.23528966695808
20,42.6459029410626,23.270111568848,1.6919506853862032,0.030562157968596487,0.016034522857183656,146.0,42.6459029410626,23.270111568848,1000.0,2.4109494537850407,1.2433017620849074,67.07545499445794
21,48.7000787022852,33.2072795561645,1.737494924991973,0.03358347634222151,0.016284842663312468,129.0,48.7000787022852,33.2072795561645,1000.0,2.6492914547028663,1.262711323492921,65.42360452488421
22,62.62436491094271,53.749865345770694,2.775007235470386,0.0455793996408483,0.008963544443346539,162.0,62.62436491094271,53.749865345770694,1000.0,3.5956109114044925,0.695024772498691,68.46412738895769
27,66.2979986718802,53.3669276872177,1.4074871687192583,0.024692791983733253,0.0024910819368509645,348.0,66.2979986718802,53.3669276872177,1000.0,1.9479342200502103,0.19315614123167504,78.69690780864886
28,59.8211098008483,47.017308339543,1.9492798727887235,0.030494723139572313,0.00782796773955481,332.0,59.8211098008483,47.017308339543,1000.0,2.4056297389805765,0.6069732271311096,78.06613823823913
29,49.0351046059581,36.7994846007562,1.446460796938234,0.027227160239329737,0.018276900350014905,112.0,49.0351046059581,36.7994846007562,1000.0,2.1478623065354294,1.4171735955612363,63.539920309807684
30,45.3190502700633,33.6649935786475,1.5809597466345204,0.029442905386858755,0.00994497230599769,108.0,45.3190502700633,33.6649935786475,1000.0,2.3226552501047633,0.7711237622760346,63.05551437995176
31,49.952134230997345,44.75527418309248,1.7712386294165348,0.03330531823118631,0.0015756754085706395,117.0,49.952134230997345,44.75527418309248,1000.0,2.627348464075199,0.12217638338218834,64.12186443894088
